irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
202914|NEWHM : 2002.H4172|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|Soft Coral||This is a piece of coral from the Indian Ocean, preserved in 'spirit' (a mixture of ethanol and methanol). Spirit preserves of the soft parts of an animal which would otherwise shrivel away, but the specimens often quickly lose their colour. Jars of spirit used to be common in museum displays, but they are becoming much rarer.|| & & : : : : Coelenterata|||Indian Ocean||||||||||1
202915|NEWHM : 2002.H4201|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|Coral||This is a piece of coral from the Indian Ocean, preserved in 'spirit' (a mixture of ethanol and methanol). Spirit preserves of the soft parts of an animal which would otherwise shrivel away, but the specimens often quickly lose their colour. Fragile specimens, like this coral, often survive longer when protected in a spirit jar.|| : : : : Coelenterata|||Indian Ocean||||||||||1
202938|NEWHM : 2009.H623|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|Breadcrumb Sponge|||Breadcrumb Sponge| : : : :|||||||||||||1
203209|NEWHM : 2009.H894|Natural Sciences|Invertebrate Zoology|Non-Bilateria||2|spirit specimen||||sponge|maxilla incrustans : : : :|||||||||||||1
203380|NEWHM : 2009.H1065|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|Jellyfish|||Jellyfish| : : : :|||||||||||||1
203392|NEWHM : 2009.H1077|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|coral||||paramucricea placomus : : : :|||||||||||||1
203401|NEWHM : 2009.H1086|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|octocoral spirit specimen|||||hippopodius neapolitanus : : : :|||||||||||||1
203402|NEWHM : 2009.H1087|Natural Sciences|Invertebrate Zoology|Non-Bilateria||3|octocoral spirit specimen|||||telesto riisei : : : :|||||||||||||1
203403|NEWHM : 2009.H1088|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|octocoral spirit specimen|||||pteroeides brachycaulon : : : :|||||||||||||1
203405|NEWHM : 2009.H1090|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|octocoral spirit specimen|||||wrightella coccinea : : : :|||||||||||||1
203959|NEWHM : 2009.H1645|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|cnidaria|||Jellyfish| : : : :|||||||||||||1
204229|NEWHM : 2009.H1915|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|Sponge|||sponge|haiichondria panicea : : : :|||||||||||||1
204428|NEWHM : 2009.H2113|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|sponge spirit specimen|Sponge|||Sponge| : : : :|||||||||||||1
204607|NEWHM : 2009.H2292|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|spirit specimen|Jellyfish|||Jellyfish| : : : :|||||||||||||1
204766|NEWHM : 2009.H2450|Natural Sciences|Invertebrate Zoology|Non-Bilateria||1|unidentified spirit specimen|Coral|||Coral| : : : :|||||||||||||1
220212|NEWHM : 1997.H297|Natural Sciences|Invertebrate Zoology|Non-Bilateria|||zoophyte|||||Hydroidea & Bougainvilliidae : : : Hydrozoa : Coelentrata|||UK, England, Northumberland|||||||Joshua Alder Collection|||1
220331|NEWHM : 1997.H416|Natural Sciences|Invertebrate Zoology|Non-Bilateria|||unidentified zoophyte|||||& & & : : : :||||||||||Joshua Alder Collection|||1
